county,district,students,computers,reading score,math score
Alameda,Sunol Glen Unified,195,67,692,690
Butte,Manzanita Elementary,240,101,661,662
Butte,Thermalito Union Elementary,1550,169,636,651
Butte,Golden Feather Union Elementary,243,85,652,644
Butte,Palermo Union Elementary,1335,171,642,640
Fresno,Burrel Union Elementary,137,25,606,605
San Joaquin,Holt Union Elementary,195,28,605,609
Kern,Vineland Elementary,888,66,606,613
Fresno,Orange Center Elementary,379,35,609,616
Sacramento,Del Paso Heights Elementary,2247,0,612,613
Merced,Le Grand Union Elementary,446,86,613,619
Fresno,West Fresno Elementary,987,56,617,616
Tulare,Allensworth Elementary,103,25,613,620
Tulare,Sunnyside Union Elementary,487,0,610,623
Tulare,Woodville Elementary,649,31,612,621
Tulare,Pixley Union Elementary,852,80,615,620
Kern,Lost Hills Union Elementary,491,100,612,624
Kern,Buttonwillow Union Elementary,421,50,615,622
Los Angeles,Lennox Elementary,6880,960,619,621
Kern,Lamont Elementary,2688,139,621,619
Imperial,Westmorland Union Elementary,440,69,616,625
Tulare,Pleasant View Elementary,475,53,620,623
Kern,Wasco Union Elementary,2538,169,623,621
Tulare,Alta Vista Elementary,476,0,621,623
Merced,Livingston Union Elementary,2357,216,620,626
Tulare,Woodlake Union Elementary,1588,198,625,621
Monterey,Alisal Union Elementary,7306,742,620,626
Kern,Arvin Union Elementary,2601,269,617,630
Tulare,Terra Bella Union Elementary,847,67,620,627
Tulare,Tipton Elementary,452,55,628,620
San Diego,San Ysidro Elementary,4142,569,620,629
Monterey,Soledad Unified,2102,224,623,627
Los Angeles,Mountain View Elementary,10012,721,621,630
Monterey,King City Union Elementary,2488,202,626,626
San Bernardino,Ontario-Montclair Elementary,25151,1713,625,627
Los Angeles,Los Nietos Elementary,2267,177,625,628
Merced,Winton Elementary,1657,204,624,630
Fresno,Raisin City Elementary,284,18,629,625
San Mateo,Ravenswood City Elementary,5370,562,624,630
Kern,Richland-Lerdo Union Elementary,2471,275,628,627
Ventura,Oxnard Elementary,15386,1762,628,629
Merced,El Nido Elementary,184,40,622,635
Kern,Fairfax Elementary,1217,78,629,628
Kern,Delano Union Elementary,6219,571,621,636
Riverside,Perris Elementary,4258,324,627,631
Los Angeles,Valle Lindo Elementary,1235,175,630,629
Santa Clara,Alum Rock Union Elementary,16244,1423,630,631
Kern,Edison Elementary,814,85,632,629
Kern,Bakersfield City Elementary,27176,3324,632,630
Santa Clara,Franklin-McKinley Elementary,10696,1306,629,633
Los Angeles,Hawthorne Elementary,8935,786,628,634
Madera,Chowchilla Elementary,1600,242,636,627
Monterey,Salinas City Elementary,9028,669,633,631
Santa Barbara,Santa Maria-Bonita Elementary,10625,896,630,634
Los Angeles,Whittier City Elementary,7151,560,634,630
Los Angeles,Eastside Union Elementary,2404,202,634,631
Los Angeles,Lawndale Elementary,5804,480,631,633
Sacramento,Robla Elementary,2253,196,638,627
Monterey,Santa Rita Union Elementary,2807,152,637,628
Ventura,Rio Elementary,3074,249,633,633
Tulare,Strathmore Union Elementary,723,45,629,637
Sacramento,North Sacramento Elementary,5138,560,630,636
Orange,Anaheim Elementary,20927,1048,630,637
Kings,Lemoore Union Elementary,3017,496,634,633
Kings,Armona Union Elementary,957,149,635,633
Kern,Beardsley Elementary,1639,287,638,630
Los Angeles,South Whittier Elementary,4340,284,632,636
Kings,Hanford Elementary,5079,585,638,631
San Diego,National Elementary,6639,505,632,637
Sonoma,Roseland Elementary,1154,129,637,632
Kern,Di Giorgio Elementary,237,13,632,637
Los Angeles,Keppel Union Elementary,2987,273,638,631
Kings,Lakeside Union Elementary,499,94,636,634
Merced,Merced City Elementary,11474,1248,633,636
Santa Barbara,Guadalupe Union Elementary,1088,107,631,639
San Bernardino,Cucamonga Elementary,2660,259,638,632
Contra Costa,Knightsen Elementary,353,8,637,634
Humboldt,Rio Dell Elementary,329,37,644,626
Siskiyou,Montague Elementary,252,32,641,630
Siskiyou,McCloud Union Elementary,175,31,635,637
Ventura,Santa Paula Elementary,3835,897,633,638
Fresno,West Park Elementary,314,8,637,635
Merced,Atwater Elementary,4458,445,633,639
Merced,Weaver Union Elementary,1313,112,634,638
Fresno,Pacific Union Elementary,474,36,635,638
San Bernardino,Lucerne Valley Unified,1114,277,645,628
Riverside,Romoland Elementary,1358,178,632,641
Los Angeles,El Monte City Elementary,11629,1015,632,641
Kern,Greenfield Union Elementary,6195,1261,636,638
Tulare,Palo Verde Union Elementary,499,35,636,638
Sacramento,Elverta Joint Elementary,417,27,638,636
Lake,Lucerne Elementary,300,55,641,634
Santa Clara,Luther Burbank Elementary,457,50,645,630
Butte,Bangor Union Elementary,146,34,646,630
San Mateo,Bayshore Elementary,460,71,633,643
Tulare,Oak Valley Union Elementary,354,28,637,639
Los Angeles,Wilsona Elementary,1841,315,640,636
Imperial,Brawley Elementary,3760,717,636,640
Imperial,Meadows Union Elementary,500,70,630,646
Los Angeles,Little Lake City Elementary,5112,383,639,638
Kern,Pond Union Elementary,146,28,638,640
Kern,Taft City Elementary,2141,134,637,641
Sutter,Brittan Elementary,610,144,640,638
Mendocino,Arena Union Elementary,337,26,643,636
San Bernardino,Adelanto Elementary,4501,597,640,639
San Benito,Hollister School District,5718,313,641,638
Los Angeles,Palmdale Elementary,19402,1182,642,638
Butte,Oroville City Elementary,3401,560,642,638
Kern,Standard Elementary,2621,397,641,638
Ventura,Briggs Elementary,426,87,634,646
Fresno,Monroe Elementary,205,24,644,637
Los Angeles,Lancaster Elementary,13668,1321,640,640
Madera,Alview-Dairyland Union Elementary,342,98,638,643
Orange,Magnolia Elementary,6518,499,639,643
Tulare,Liberty Elementary,239,30,645,637
Santa Clara,Mt. Pleasant Elementary,2911,281,640,642
Imperial,El Centro Elementary,6272,1338,639,644
San Diego,South Bay Union Elementary,10218,1435,639,644
Shasta,Cascade Union Elementary,1735,222,641,642
Tulare,Kings River Union Elementary,474,96,639,645
Tehama,Gerber Union Elementary,544,145,642,643
Tulare,Exeter Union Elementary,1987,283,637,647
Fresno,American Union Elementary,418,50,640,645
Monterey,San Antonio Union Elementary,196,40,653,633
Tulare,Burton Elementary,2208,92,642,644
Riverside,Nuview Union Elementary,1255,165,643,644
Sonoma,Bellevue Union Elementary,1469,65,639,647
Los Angeles,Garvey Elementary,7114,680,639,648
Tehama,Corning Union Elementary,1962,170,642,645
San Mateo,Jefferson Elementary,7761,658,644,643
Siskiyou,Big Springs Union Elementary,216,47,653,634
Kern,General Shafter Elementary,224,31,634,654
Stanislaus,Turlock Joint Elementary,7887,1004,646,642
Tuolumne,Twain Harte-Long Barn Union Elementary,752,0,652,636
San Mateo,Redwood City Elementary,9328,1719,645,644
El Dorado,Camino Union Elementary,548,35,652,637
Merced,Plainsburg Union Elementary,104,19,650,639
San Joaquin,Banta Elementary,275,4,643,646
Fresno,Washington Colony Elementary,443,52,644,645
