City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Adelanto city, California",31661,31864,31088,31206,32522,32961,33249,33952,34070,34049
"Agoura Hills city, California",20338,20475,20544,20591,20648,20740,20665,20572,20411,20222
"Alameda city, California",73946,74692,75637,76479,77509,78459,79091,79037,78344,77624
"Albany city, California",18539,18720,18957,19187,19434,19662,19713,20076,19885,19696
"Alhambra city, California",83160,83594,84120,84337,84786,84843,85221,84878,84373,83750
"Aliso Viejo city, California",47801,48474,49038,49538,49542,49499,50858,50982,51206,50887
"Alturas city, California",2832,2772,2719,2652,2636,2626,2589,2551,2523,2563
"Amador City city, California",182,182,181,180,182,186,188,189,190,190
"American Canyon city, California",19633,19839,20011,20224,20285,20317,20268,20055,20211,20475
"Anaheim city, California",336760,339831,342071,343832,344604,348251,350013,350476,350698,350365
"Anderson city, California",9976,10024,10061,10123,10188,10179,10193,10369,10486,10630
"Angels city, California",3801,3774,3744,3731,3735,3755,3849,3881,3911,3956
"Antioch city, California",103080,104193,105565,107351,109071,110308,111088,111494,111578,111502
"Apple Valley town, California",69307,70025,70381,70706,71141,71747,72262,72871,73349,73453
"Arcadia city, California",56322,56594,56801,57215,57513,57835,58238,58374,58385,57939
"Arcata city, California",17681,17912,17875,17860,17869,17945,18100,18148,18246,18431
"Arroyo Grande city, California",17292,17355,17522,17696,17859,18027,18051,18057,18037,17976
"Artesia city, California",16519,16575,16630,16679,16755,16835,16826,16808,16702,16601
"Arvin city, California",19345,19676,20058,20260,20498,20741,20997,21124,21446,21851
"Atascadero city, California",28418,28585,28725,29000,29329,29910,30173,30316,30257,30075
"Atherton town, California",6915,6950,7023,7087,7127,7163,7234,7215,7178,7137
"Atwater city, California",28286,28527,28622,28712,28861,29048,29196,29270,29415,29559
"Auburn city, California",13345,13523,13611,13818,13878,13868,13919,13971,14078,14195
"Avalon city, California",3728,3742,3754,3761,3768,3769,3758,3743,3712,3681
"Avenal city, California",15278,15095,14858,14133,13257,13236,12434,12407,13218,13496
"Azusa city, California",46534,46722,47360,47889,48561,49502,49683,49799,49811,49974
"Bakersfield city, California",348987,353221,357312,362834,366954,371348,374699,377940,381714,384145
"Baldwin Park city, California",75421,75750,76183,76364,76375,76427,76219,75948,75572,75251
"Banning city, California",29723,29993,30219,30429,30612,30761,30963,31160,31235,31221
"Barstow city, California",22812,23020,23118,23301,23484,23689,23894,23981,23944,23915
"Beaumont city, California",37261,38514,39286,40337,41994,43479,45156,46848,49126,51063
"Bell city, California",35481,35640,35758,35847,35874,35892,35756,35596,35612,35521
"Bellflower city, California",76624,76939,77202,77404,77532,77794,77581,77326,76906,76435
"Bell Gardens city, California",42056,42211,42628,42706,42714,42743,42675,42489,42192,42012
"Belmont city, California",25870,26173,26509,26770,27013,27204,27177,27057,27075,26941
"Belvedere city, California",2073,2091,2106,2121,2134,2128,2123,2116,2109,2104
"Benicia city, California",27063,27190,27380,27578,27827,28029,28126,28255,28282,28240
"Berkeley city, California",112889,113968,115309,116944,118697,120749,121547,122164,121663,121363
"Beverly Hills city, California",33937,34077,34254,34308,34363,34386,34402,34242,34051,33792
"Big Bear Lake city, California",5047,5089,5112,5127,5159,5201,5232,5264,5271,5279
"Biggs city, California",1703,1693,1692,1689,1692,1690,1695,1706,1716,1879
"Bishop city, California",3872,3847,3837,3832,3815,3772,3728,3722,3728,3747
"Blue Lake city, California",1253,1246,1241,1238,1238,1248,1266,1263,1258,1245
"Blythe city, California",20569,20294,20659,19868,19268,19202,19786,19705,19964,19682
"Bradbury city, California",1047,1056,1062,1073,1073,1079,1075,1085,1079,1070
"Brawley city, California",25038,25226,25473,25519,25660,25728,26050,26217,26172,26227
"Brea city, California",39422,39828,40139,40906,41265,41693,42392,42574,43484,43255
"Brentwood city, California",51813,52716,53508,54916,56854,58796,60571,62265,63760,64474
"Brisbane city, California",4290,4345,4402,4453,4602,4712,4711,4702,4683,4671
"Buellton city, California",4855,4877,4921,4978,5036,5069,5097,5094,5090,5102
"Buena Park city, California",80792,81553,82045,82717,82621,82770,82988,82619,82187,81788
"Burbank city, California",103351,103732,104077,104355,104405,104472,104097,104174,103349,102511
"Burlingame city, California",28838,29261,29640,29928,30258,30458,30439,30588,30434,30889
"Calabasas city, California",23464,23742,23825,24041,24058,24102,24068,24047,23867,23853
"Calexico city, California",38661,38927,39147,39298,39550,39767,40028,40083,40072,39825
"California City city, California",13467,12834,13344,13202,13203,13202,13656,13884,14167,14198
"Calimesa city, California",7918,7997,8092,8201,8380,8493,8621,8807,8944,9160
"Calipatria city, California",7689,7684,7986,7083,7491,7391,7505,7539,7418,7114
"Calistoga city, California",5174,5204,5224,5256,5274,5285,5285,5241,5300,5247
"Camarillo city, California",65257,65515,65656,65882,66517,67171,67141,67403,68883,69888
"Campbell city, California",40669,41027,41519,41891,42256,42262,42303,42567,42243,41793
"Canyon Lake city, California",10599,10699,10783,10861,10945,11007,11095,11188,11251,11280
"Capitola city, California",9925,9968,10010,10066,10114,10166,10178,10152,10073,10010
"Carlsbad city, California",105674,107460,108948,110665,111609,112662,113265,114477,115518,115382
"Carmel-by-the-Sea city, California",3687,3716,3749,3780,3804,3821,3836,3822,3815,3811
"Carpinteria city, California",13013,13021,13144,13460,13565,13605,13598,13540,13436,13385
"Carson city, California",91599,91690,92162,92535,92684,92752,92572,92193,91626,91394
"Cathedral City city, California",51452,52077,52478,52846,53187,53516,53943,54413,54793,55007
"Ceres city, California",45901,46057,46263,46482,46918,47431,47985,48340,48540,48706
