City,2010,2019
"Aberdeen city, Idaho",1998,1977
"American Falls city, Idaho",4475,4315
"Ammon city, Idaho",14039,17115
"Ashton city, Idaho",1124,1050
"Bellevue city, Idaho",2325,2456
"Blackfoot city, Idaho",12014,12034
"Boise City city, Idaho",209576,228959
"Bonners Ferry city, Idaho",2511,2637
"Buhl city, Idaho",4186,4507
"Burley city, Idaho",10332,10582
"Caldwell city, Idaho",46535,58481
"Cascade city, Idaho",931,"1025"
"Challis city, Idaho",1097,1091
"Chubbuck city, Idaho",14022,15588
"Coeur d'Alene city, Idaho",44292,52414
"Dalton Gardens city, Idaho",2339,2410
"Driggs city, Idaho",1627,1817
"Eagle city, Idaho",20009,29796
"Emmett city, Idaho",6539,7054
"Filer city, Idaho",2526,2931
"Fruitland city, Idaho",4767,5426
"Garden City city, Idaho",10983,11969
"Glenns Ferry city, Idaho",1325,1303
"Gooding city, Idaho",3600,3446
"Grangeville city, Idaho",3158,3237
"Hailey city, Idaho",7930,8689
"Hansen city, Idaho",1146,1284
"Hayden city, Idaho",13319,15434
"Heyburn city, Idaho",3093,3447
"Homedale city, Idaho",2631,2720
"Idaho Falls city, Idaho",57995,62888
"Iona city, Idaho",1833,2354
"Jerome city, Idaho",10922,11994
"Kamiah city, Idaho",1293,1244
"Kellogg city, Idaho",2140,2136
"Ketchum city, Idaho",2704,2855
"Kimberly city, Idaho",3311,4054
"Kuna city, Idaho",15628,22257
"Lapwai city, Idaho",1129,1137
"Lewiston city, Idaho",31919,32788
"McCall city, Idaho",2957,3597
"Malad City city, Idaho",2100,2137
"Marsing city, Idaho",1292,1318
"Meridian city, Idaho",77428,114161
"Middleton city, Idaho",5532,8466
"Montpelier city, Idaho",2588,2538
"Moscow city, Idaho",23842,25702
"Mountain Home city, Idaho",14272,14562
"Nampa city, Idaho",81998,99277
"New Plymouth city, Idaho",1506,1554
"Orofino city, Idaho",3202,3099
"Osburn city, Idaho",1549,1556
"Parma city, Idaho",1976,2147
"Paul city, Idaho",1182,1449
"Payette city, Idaho",7501,7727
"Pinehurst city, Idaho,1614,162
"Plummer city, Idaho",1048,1029
