Title,Artist,Sex,Medium,Location,# of Locations,Sale Price in Dollars,Included because
The Desert,Augustus E. John,Male,Oil,Boston,1,260,Requested by Organizers
The Orange Frock,Augustus E. John,Male,Oil,Boston,1,650,Requested by Organizers
Pines,Augustus E. John,Male,Oil,Boston,1,260,Requested by Organizers
The Coast of Clare,Augustus E. John,Male,Oil,Boston,1,585,Requested by Organizers
The Yellow Dress,Augustus E. John,Male,Oil,Boston,1,780,Requested by Organizers
The Red Shawl,Augustus E. John,Male,Oil,Boston,1,650,Requested by Organizers
"Lithographs; now determined to be The Volpini Suite;, 1889",Paul Gauguin,Male,Lithograph,Chicago & Boston,2,27,Requested by Organizers
Ophelia,Odilon Redon,Male,Oil,Chicago & Boston,2,1200,Requested by Organizers
12 Etchings,J. Alden Weir,Male,Etching,New York,1,500,Requested by Organizers
Feeding the Ducks,Elmer Livingston MacRae,Male,Oil,New York,1,550,Requested by Organizers
Street,Jonas Lie,Male,Oil,New York,1,500,Requested by Organizers
Boy and Goat; elsewhere Boy With Goat,Karl Anderson,Male,Oil,New York,1,500,Requested by Organizers
New York,Howard Coluzzi,Male,Oil,New York,1,300,Requested by Organizers
April,Edward Adam Kramer,Male,Pastel,New York,1,100,Requested by Organizers
Farm Yard,Adolph Kleiminger,Male,Oil,New York,1,400,Requested by Organizers
"The Rain, Connecticut Hills",Childe Hassam,Male,Pastel,New York,1,650,Requested by Organizers
The Birth,George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
"#The Mystery of Life, 1895–97",George Grey Barnard,Male,Stone,New York,1,2000,Requested by Organizers
3 Drawings,Boardman Robinson,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
2 Cartoons,Boardman Robinson,Male,Drawing,New York & Chicago,2,60,Requested by Organizers
Minetta Lane,Paul Burlin,Male,Drawing,New York,1,65,Requested by Organizers
Remains of equitable building,Paul Burlin,Male,Drawing,New York,1,85,Requested by Organizers
Washington Market District,Paul Burlin,Male,Drawing,New York,1,65,Requested by Organizers
Seven Drawings,Auguste Rodin,Male,Watercolor,New York & Chicago,2,1750,Requested by Organizers
Six Drawings,Bernard Karfiol,Male,Drawing,New York,1,20,Requested by Organizers
The Crinolines,Charles Condor,Male,Oil,"New York, Chicago & Boston",3,1000,Requested by Organizers
The Orchard,J. Alden Weir,Male,Oil,New York,1,2500,Requested by Organizers
When the Wind Blows,Van Dearing Perrine,Male,Oil,New York,1,750,Requested by Organizers
#Study in Rose and Brown,James A. McNeill Whistler,Male,Oil,New York,1,8500,Requested by Organizers
The Ice Floes,Van Dearing Perrine,Male,Oil,New York,1,2000,Requested by Organizers
Woman in Garden,Henri Toulouse-Lautrec,Male,Oil,New York,1,6600,Requested by Organizers
Rueil; now titled Village,MAurice de Vlaminck,Male,Oil,New York & Chicago,2,224,Requested by Organizers
"Drawings, Nos. 1-6",Marjorie Organ,Female,Drawing,New York,1,50,Requested by Organizers
Le Bassin aux nymphéas,Claude Monet,Male,Oil,New York,1,7700,Requested by Organizers
The Quarry,Jonas Lie,Male,Oil,New York & Chicago,2,800,Requested by Organizers
Toilet of Venus,Charles H. Shannon,Male,Oil,"New York, Chicago & Boston",3,3500,Requested by Organizers
Portrait; elsewhere titled Blue and Gold,Allen Tucker,Male,Oil,New York & Chicago,2,350,Requested by Organizers
"Upper Manhattan; now titled Harlem River, Winter, 1910",Ernest Lawson,Male,Oil,New York,1,800,Requested by Organizers
Landscape,Frank A. Nankivell,Male,Oil,New York,1,400,Requested by Organizers
Laughing Boy,Frank A. Nankivell,Male,Oil,New York,1,150,Requested by Organizers
"#Vine Wood, ca. 1910",Agnes Pelton,Female,Oil,New York,1,100,Requested by Organizers
The Beach Crowd,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
Six Drawings,Albert Humphreys,Male,Drawing,New York & Chicago,2,200,Requested by Organizers
Four drawings,George Bellows,Male,Drawing,New York,1,150,Requested by Organizers
Playing Beach on the Ball,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
THe Beach Umbrellas,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
The Life Gaurd,Amy Londoner,Female,Pastel,New York,1,50,Requested by Organizers
Stone Age,Agnes Pelton,Female,Oil,New York & Chicago,2,100,Requested by Organizers
Irene,Charles H. Pepper,Male,Oil,New York,1,1000,Requested by Organizers
Arizona Desert,Kate T. Cory,Female,Oil,New York & Chicago,2,150,Requested by Organizers
"#In the Opera; now titled At the Opera, 1908",Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
"Anticoli Corrado, 1907",Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
On the Avenue 1905,Abraham Walkowitz,Male,Oil,New York,1,250,Requested by Organizers
Man-Woman,Abraham Walkowitz,Male,Oil,New York,1,200,Requested by Organizers
A Bit of Venice,Abraham Walkowitz,Male,Oil,New York,1,500,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Drawing,Abraham Walkowitz,Male,Drawing,New York,1,100,Requested by Organizers
Watercolor,Abraham Walkowitz,Male,Watercolor,New York,1,100,Requested by Organizers
"Mountain, the Tyrol",John Marin,Male,Watercolor,New York,1,300,Requested by Organizers
In the Tyrol,John Marin,Male,Watercolor,New York,1,300,Requested by Organizers
"Lake and Mountain, Tyrol",John Marin,Male,Watercolor,New York,1,250,Requested by Organizers
Frame of Drawings,Arthut Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
"Hunger under a Bridge, 1912",Eugene Higgins,Male,Tempera,New York & Chicago,2,250,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
Fame of Drawings,Aurthur Lee,Male,Drawing,New York & Chicago,2,100,Requested by Organizers
