,Chinsups,Sit-ups,jumps,Weight (lbs),Waist in inches,Pulse/min
0,5,162,60,191,36,50
1,2,110,60,189,37,52
2,12,,,193,,58
3,12,105,37,162,35,62
4,13,155,58,189,35,46
5,4,101,42,182,36,56
6,8,101,38,211,38,56
7,6.5,125,40,167,34,60
8,15,200,40,176,31,74
9,17,-3,250,154,-33,56
10,17,120,38,169,34,50
11,13,NaN,NaN,166,thirty three,52
12,14,215,105,154,34,64
13,1,50,50,247,46,50
14,6,70,31,193,36,46
15,12,210,120,202,37,62
16,four,60,25,176,37,54
17,11,230,80,157,32,52
18,15,225,73,156,33,54
19,2,110,43,138,33,68
